Category,CustomerName,CustomerNumber,InvoiceNumber,InvoiceAmount,InvoiceDate,DueDate,ForecastCode,ForecastDate,Collector
Red,Matthew Company,934077,SV9844,"6,571,361",2024-07-24,2024-08-23,FCST,2024-08-23,John
Red,Lisa Company,265444,LG6437,"29,427,033",2024-07-15,2024-08-14,AUTO,2024-08-10,David
,Ashley Company,857730,QG6995,"3,239,442",2024-07-18,2024-08-17,AUTO,2024-08-21,Michael
Yellow,Richard Company,594411,MZ0107,"87,797,508",2024-07-17,2024-08-16,,2024-08-17,Mary
Red,Emily Company,578967,YK5449,"36,645,222",2024-07-07,2024-08-06,AUTO,2024-08-15,Mary
Red,Nancy Company,247478,YI2298,"49,997,199",2024-07-08,2024-08-07,SWNG,2024-07-28,Lisa
Green,Betty Company,404658,LA0304,"21,515,911",2024-07-11,2024-08-10,AUTO,2024-08-20,David
Green,William Company,703810,NC0862,"1,660,444",2024-07-12,2024-08-11,SWNG,2024-08-11,Lisa
Red,Mary Company,902266,WH9085,"51,065,378",2024-07-23,2024-08-22,,2024-09-01,Lisa
Red,John Company,227795,EO5121,"17,547,789",2024-07-01,2024-07-31,FCST,2024-08-08,Lisa
Green,Ashley Company,152835,SM4333,"12,435,938",2024-07-24,2024-08-23,,2024-08-19,Michael
Red,Linda Company,645603,DJ5501,"90,957,808",2024-07-08,2024-08-07,SWNG,2024-08-14,John
Red,George Company,134920,CL3334,"62,959,953",2024-07-18,2024-08-17,FCST,2024-08-18,Mary
,Jessica Company,830579,OR3994,"16,478,368",2024-07-07,2024-08-06,AUTO,2024-08-09,Mary
Red,Christopher Company,926432,SW5056,"94,304,341",2024-07-14,2024-08-13,FCST,2024-08-17,John
Yellow,Robert Company,128158,KO5131,"5,529,678",2024-07-13,2024-08-12,SWNG,2024-08-07,Mary
,Nancy Company,771305,WH0472,"94,825,617",2024-07-03,2024-08-02,FCST,2024-07-23,Mary
Red,Donald Company,140992,KZ3182,"92,256,749",2024-07-28,2024-08-27,AUTO,2024-08-25,David
,Donald Company,835124,XG2338,"37,878,519",2024-07-27,2024-08-26,FCST,2024-08-20,Lisa
Yellow,Sandra Company,931986,YR7633,"56,796,205",2024-07-15,2024-08-14,AUTO,2024-08-13,Michael
Green,John Company,288144,LV7472,"19,369,813",2024-07-31,2024-08-30,AUTO,2024-09-04,Mary
Green,Karen Company,942973,PU2132,"4,069,207",2024-07-05,2024-08-04,AUTO,2024-07-28,Lisa
Red,Dorothy Company,982935,TU3098,"29,560,870",2024-07-19,2024-08-18,,2024-08-09,Lisa
,John Company,659745,HL2433,"95,062,905",2024-07-09,2024-08-08,SWNG,2024-08-12,Mary
Yellow,Mary Company,768793,QC4647,"77,915,684",2024-07-18,2024-08-17,FCST,2024-08-25,Mary
Green,Christopher Company,194095,UK3236,"13,057,524",2024-07-14,2024-08-13,,2024-08-16,John
,Karen Company,824493,AD6826,"28,084,508",2024-07-18,2024-08-17,FCST,2024-08-08,Michael
Yellow,Patricia Company,942623,OS9319,"95,768,908",2024-07-03,2024-08-02,AUTO,2024-07-23,John
Green,Betty Company,961078,AQ8272,"60,569,785",2024-07-02,2024-08-01,FCST,2024-08-05,Lisa
Red,Christopher Company,118780,LM4136,"99,871,315",2024-07-28,2024-08-27,AUTO,2024-08-25,Michael
Yellow,Thomas Company,843952,OT3849,"52,793,080",2024-07-11,2024-08-10,FCST,2024-08-04,David
Yellow,Mark Company,897523,QJ1547,"40,338,938",2024-07-16,2024-08-15,AUTO,2024-08-06,Mary
Red,Betty Company,375698,LY4750,"79,061,692",2024-07-21,2024-08-20,SWNG,2024-08-28,Michael
,Dorothy Company,208662,KA9396,"3,998,589",2024-07-18,2024-08-17,AUTO,2024-08-12,David
Green,Donald Company,677350,GT7081,"11,248,531",2024-07-17,2024-08-16,FCST,2024-08-24,David
,Sandra Company,536477,YP5402,"30,178,703",2024-07-27,2024-08-26,SWNG,2024-09-04,Mary
,Patricia Company,122578,US0126,"20,430,760",2024-07-20,2024-08-19,AUTO,2024-08-20,Mary
Green,William Company,453934,FE6706,"12,597,579",2024-07-10,2024-08-09,AUTO,2024-08-01,David
Green,Mary Company,943206,CQ7049,"66,064,140",2024-07-09,2024-08-08,SWNG,2024-08-16,John
,Thomas Company,631298,WB8787,"92,897,787",2024-07-15,2024-08-14,FCST,2024-08-13,John
Yellow,Jessica Company,771110,TP4534,"24,236,831",2024-07-02,2024-08-01,AUTO,2024-07-24,John
Yellow,Robert Company,622139,OU3789,"51,662,680",2024-07-04,2024-08-03,AUTO,2024-08-07,Michael
Red,Emily Company,677650,UQ5569,"58,472,675",2024-07-24,2024-08-23,FCST,2024-08-31,David
Green,David Company,136260,VU3241,"98,722,487",2024-07-22,2024-08-21,AUTO,2024-08-24,Lisa
Yellow,William Company,567779,IL2830,"97,427,859",2024-07-04,2024-08-03,AUTO,2024-07-25,Michael
Red,Margaret Company,943749,UE2080,"40,083,737",2024-07-26,2024-08-25,FCST,2024-08-24,Michael
,Betty Company,796975,MR4597,"47,703,032",2024-07-25,2024-08-24,,2024-08-21,John
,Lisa Company,899401,IO0148,"74,919,425",2024-07-29,2024-08-28,AUTO,2024-08-19,John
Red,James Company,257679,EC0723,"38,754,607",2024-07-17,2024-08-16,FCST,2024-08-18,Mary
Red,Linda Company,588108,II3619,"80,526,372",2024-07-12,2024-08-11,AUTO,2024-08-21,David
Green,Patricia Company,251717,YT6509,"32,800,566",2024-07-18,2024-08-17,AUTO,2024-08-24,David
Green,Christopher Company,137036,FL2427,"48,473,635",2024-07-25,2024-08-24,FCST,2024-08-14,Michael
Green,Mary Company,530156,ZK9070,"16,084,711",2024-07-15,2024-08-14,FCST,2024-08-16,Michael
Yellow,Ashley Company,871818,ES5466,"59,870,086",2024-07-05,2024-08-04,AUTO,2024-08-03,Lisa
Red,Robert Company,573950,IH8211,"21,698,385",2024-07-12,2024-08-11,AUTO,2024-08-21,Lisa
Yellow,Steven Company,505830,OX8814,"85,265,637",2024-07-03,2024-08-02,AUTO,2024-07-24,David
Green,Patricia Company,793958,SD7613,"65,107,362",2024-07-20,2024-08-19,SWNG,2024-08-19,John
Green,Ashley Company,566658,UH5329,"89,257,582",2024-07-06,2024-08-05,FCST,2024-07-26,Michael
Green,Emily Company,993583,UW3952,"11,741,473",2024-07-24,2024-08-23,SWNG,2024-08-16,Mary
Green,Daniel Company,956907,AK5823,"66,342,948",2024-07-19,2024-08-18,,2024-08-13,David
Green,Lisa Company,707465,AW1646,"77,842,742",2024-07-12,2024-08-11,SWNG,2024-08-20,Mary
Green,Richard Company,148136,DH4784,"27,773,259",2024-07-18,2024-08-17,SWNG,2024-08-23,Mary
Yellow,Anthony Company,485737,KI4668,"80,161,952",2024-07-04,2024-08-03,,2024-08-02,Michael
,Steven Company,905963,HE4347,"78,420,746",2024-07-01,2024-07-31,AUTO,2024-08-01,Lisa
Green,William Company,928630,NW0515,"37,214,458",2024-07-26,2024-08-25,FCST,2024-08-28,Lisa
,Jane Company,285775,ZK3290,"96,766,148",2024-07-31,2024-08-30,FCST,2024-08-27,Lisa
